,Counter,Date,User,Comment
842,843,"May 10, 2007 5:42PM","
scape2 ","'' wrong count . ford fleet actually going speak `` please prove . n't true . ford sell ford fleet much , much lower level ford . net . toyota fleet sale toyota toyota ? ?"
843,844,"May 10, 2007 5:45PM","
elroy5 ","paying 6000 12yr old car 150,000 mile stupid.who said $ 6,000 ? fact , car well worth $ 5,000 would sold le . still wonder made right decision sell . fact needed truck , made selling car necessity ."
844,845,"May 10, 2007 5:47PM","
scape2 ","'' ford need discount sell 6 ( ford ) . case , `` ever thought ford/hyundia decided sell great car great value maybe honda/toyota taking ride ? `` cheap almost always equal cheap later , reverse true `` cheap way ? ford product ?"
845,846,"May 10, 2007 5:51PM","
scape2 ","'' dead stop , manual 4-cyl honda hold auto v6 ford . `` , n't ."
846,847,"May 10, 2007 5:53PM","
scape2 ","'' lose . honestly , trying understand think resale value important . `` agree . honda folk love tought resale value . yet , leave initial higher price paid , along higher interest lifetime loan .. car investment either ... another thing . resale internet average . real world resale . 2000 honda chrysler 3 dealership would n't give 10,000 2004 ! perception public key resale value . bashed head honda/toyota much reliable `` worth `` . experience . internet kind information reliability data . get look . surprised . : surprise :"
847,848,"May 10, 2007 5:57PM","
bhmr59 ","according 12/1/06 statement pasted # 831 , hyundai started curtailing fleet sale dramatically 11/06 . established new policy november , would keep issuing press release month month . monthly press release would n't `` 5 month old new article `` , would certainly `` old news . `` hyundai added xm radio hyundai 's built late 2006. press release . advertise xm included , n't issue press release month announce xm included ."
848,849,"May 10, 2007 6:28PM","
goodegg ",honda/toyota much reliable `` worth `` . experience notmy experience total opposite . 2 ford weak compared satisfaction 3 honda 2 toyota deliver . ford 's burned twice . doubt 'd ever buy . 15 year old n't see driveway either . leaning towards elantra.and get `` internet `` . n't need tell steer clear ford .
849,850,"May 10, 2007 6:50PM","
goodegg ","experience total opposite . 2 ford weak compared satisfaction 3 honda 2 toyota deliver.i feel . ford need step earn business . ford seems ok car , new scene judged esteemed light honda ( yea 'm honda-biased good reason ) . let see hold together 90,000 mile . look good , know 'll like 90,000 ? 'm pulling gm tho new model - , new chevrolet chevrolet , new ct . c'mon gm ."
850,851,"May 10, 2007 8:20PM","
zzzoom6 ","'s weird , got quote insurance honda $ 150 every 6 month compared mazda 6 ... honda like $ 300 every 6 month ! car insurance strange . like zip code live big impact insurance even park car locked garage , work address n't considered car open . ah well , ?"
851,852,"May 11, 2007 12:44AM","
wardco ",honda stolen car usa . 's likely higher insurance rate .
852,853,"May 11, 2007 3:12AM","
motownusa ",dont find difficult driving manual stop go driving . personally hated . besides n't chat cell phone drive drive stick : p
853,854,"May 11, 2007 4:19AM","
benderofbows ",": `` dead stop , manual 4-cyl honda hold auto v6 ford . `` scape : `` , n't . `` well , 've tried supporting argument stating driven car . however seems 'll another look number . car driver clocked 2007 honda i4 manual respectable 7.5 second 0-60 time , slightly slower new nissan 4. could n't find much data 2006 later ( post engine power bump ) honda 4-cylinder manuals.the v6 ford automatic plenty test result available , however result place . right , motor trend clock 7.2 second , however many credible source n't able acheive time . please read following excerpt : edmunds.com , full test sel v6- 0-60 mph 8.0 sec , note : `` achieved best time `` street start `` traction control turned . `` newcar.com- & # 147 ; 221-hp v6 engine provides enough power , although ford likely mistaken sport . ford accelerate 0 60 mph 8 second , reasonable performance though quick v6 version honda honda toyota toyota toyota . & # 148 ; autoweek- & # 147 ; straight line ford turned respectable & # 151 ; average & # 151 ; performance . 3.0-liter 221-hp v6 edge best long-term hyundai hyundai & # 146 ; larger 3.3-liter v6 could deliver , 60 mph ( 7.5 second vs. 7.51 ) well quarter-mile ( 15.7 second 91.2 mph vs. 15.76 89.4 ) . & # 148 ; 7.2 second ? 8.0 second ? 7.5 second ? even fastest time ford , versus time found honda , 's 0.3 second difference . 2.4l four , 3.0l six extra gear ! result indicate would well-matched street race . oh wait , already ( versus sister car ) , . seems like somebody n't admit 4-cylinder honda keep v6 ..."
854,855,"May 11, 2007 4:35AM","
targettuning ","ever hear `` bluetooth `` ? anyhow driving chating illegal bunch state including n't need official proclaimation , anyhow , avoided ."
855,856,"May 11, 2007 4:35AM","
baggs32 ","according 12/1/06 statement pasted # 831 , hyundai started curtailing fleet sale dramatically 11/06 . established new policy november , would keep issuing press release month month . monthly press release would n't `` 5 month old new article `` , would certainly `` old news . `` 'm looking another press release . 'm looking number ! ! ! ! ! ! ! lot change 5 month press release worthless . hyundai n't going release statement press 've increased fleet sale either . go along lowered hyundai fleet sale selling ove 50 % fleet july 2006. doubt big drop hyundai sale result cutting fleet sale amount . let 's realistic . : sick :"
856,857,"May 11, 2007 5:03AM","
jeffyscott ","found somebody pay 5000 ( 6000 're saying kbb 5k ) 12 year old car , consider lucky . found moron would overpaid anything . agree nut pay $ 5000 12 year old car 150k mile , n't think correct person willing overpay anything . imagine lot people believe 12 year old honda 150k mile `` reliable `` 5 year old ford 60k mile . fact , bet many people 's view age mileage even enter evaluation ... would figure 1992 honda 250,000 mile `` reliable `` brand new ford ."
857,858,"May 11, 2007 5:06AM","
targettuning ","hate jump series post arguing aceleration number largely irrelevent due hundred factor e.g . driver ... mechanical condition .. reflex ( street race ) .. road surface condition ... car opposed rental etc . time really fast car involve quick pas two lane oncoming traffic passee speeding 've passed `` bingo `` . quick entry onto interstate two peterbuilts .. lane .. bearing @ 75 mph . plus occasional `` pull away `` tailgater.that said , prefer v-6 4 buy larger v-6 two available . `` better need `` school thought . anyhow , wanted say autoweek absolute slowest number ever seen v-6 hyundai 0-60 1/4 mile"
858,859,"May 11, 2007 5:12AM","
goodegg ",honda stolen car usa . 's likely higher insurance rates.that 's silly . ever think sheer number honda anything target thief ? insurance agent say honda cheaper car insure .
859,860,"May 11, 2007 5:44AM","
jeffyscott ","insurance agent say honda cheaper car insure . maybe 's getting stolen body part cheap .seriously though , insurance cost vary . , insurance agent said car liability cost insurance company . tell collision varys little based cost body part . think said generally import body part would expensive . think may said car alternate body part supplier , lower price . since honda mazda built toward cheaper along model asembled north america . honda might common alternate suppliers.in , make model vehicle little impact determining auto insurance rate . apparently case everyone , though.btw , mada6 made # 2 honda # 6 cheap insure list edmunds : http : //www.edmunds.com/reviews/list/top10/110137/article.html"
860,861,"May 11, 2007 5:53AM","
benderofbows ","oh agree hundred factor influence acceleration number . got started whole debate someone made blanket statement ford v6 `` much faster `` competing 4-cylinders . 's simply case honda manual nissan manual cvt , right ford v6 . car driver clocked 2.5l manual nissan 7.2 second , matching best time 've seen ford ( motor trend test ) ."
861,862,"May 11, 2007 6:11AM","
backy ","go along lowered hyundai fleet sale selling ove 50 % fleet july 2006. doubt big drop hyundai sale result cutting fleet sale amount.hmmm , interesting correlation . think may something ! think 's factor behind drop hyundai sale : * hma 's decision reduce fleet sale . * big increase hyundai fe sale last year ; hyundai fe made plant hyundai , sell higher-priced hyundai fe vs. hyundai , would choose ? * reduction hyundai incentive compared last year . * general slowness auto industry coupled stronger competition year vs. last year ( e.g . new toyota toyota , new , big incentive honda mazda 's , improving reputation fulan ) , combined major change hyundai since introduction two year ago . 's longer `` fresh-faced kid block . ``"
862,863,"May 11, 2007 6:24AM","
lilengineerboy ","dont find difficult driving manual stop go driving.wow , live miserable place stop go traffic ? n't live closer work ? personally hated . besides n't chat cell phone drive drive stickmaybe n't boring car lot `` stop go traffic `` would actually enjoy driving talk phone : p"
863,864,"May 11, 2007 6:32AM","
baggs32 ","got started whole debate someone made blanket statement ford v6 `` much faster `` competing 4-cylinders.it n't blanket statement originally . comparing atx atx . made atx v mtx argument right pointed . however , 0-60 time honda 5a plain wrong ford v6 much better performer honda i4 5a . plus really , really close price . .8 1 second difference big matter slice it.those bought honda i4 5m getting quite performance deal nearly every bit quick ford v6 $ 1k $ 2k le . n't imagine many honda drivetrain point still applies vast majority.oh agree hundred factor influence acceleration numbers.a lot people n't get though . two n't tested track , day , driver , 's hard believe comparison number ."
864,865,"May 11, 2007 6:36AM","
pat ","'s link : dzelinski , `` subaru legacy/outbacktransmission problem `` # 45 , 11 may 2007 7:25 ."
865,866,"May 11, 2007 6:49AM","
benderofbows ","agreed , nearly point . honda i4 5a time probably fast 0.2 second . thing consider , regarding atx atx argument : nissan 2.5l cvt nearly quick fastest test ford v6 atx . , suspect 2008 honda ( new a-vtec engine resulting power increase ) able match nissan , closing gap ford unless ford new trick . a-vtec promise increase economy well , honda already distinct advantage ( seeing 28-29 honda 34-38 highway ) ."
866,867,"May 11, 2007 7:35AM","
tallman1 ",dont find difficult driving manual stop go driving . find quite easy drive stick stop go traffic . actually prefer automatic anticipate coast . 've spent lot time kind traffic . : sick :
867,868,"May 11, 2007 7:57AM","
baggs32 ","honda ( new a-vtec engine resulting power increase ) able match nissan , closing gap ford unless ford new tricks.well , brings u back whole origin conversation 'm trying clear . new pip d30 engine ford ford , news ford forum correct , horsepower better fuel economy hit price.a cvt completely different animal closest thing atx nissan offer nissan right 'd say 's fair compare . 99 % freestyle owner 've across say plenty power cvt ( gone ford x d35 motor btw ) 's heavy vehicle relatively weak engine . something good going cvt . 've never driven cvt equipped vehicle , n't attest magic perform ."
868,869,"May 11, 2007 8:49AM","
dudleyr ","'' dont find difficult driving manual stop go driving . personally hated . besides n't chat cell phone drive drive stick `` used live area rush hour still preferred manual . nearest town kind traffic congestion 200 mile away . go year time waiting cycle light . : p far cell phone go honda quiet enough put speaker . love drivetrain i4 manual . nice quick , still give ford like fuel economy ( better ) . lifetime mpg 31.3 honda , 40 mpg obtainable highway - 35 mpg poor condition . still , another looked ford . nice drive , dash switch gear 1990 acura , seemed little cramped honda , mpg . wish made wagon ."
869,870,"May 11, 2007 9:13AM","
lilengineerboy ","wish made wagon.yeah ruled honda others last go around , time car need different ."
870,871,"May 11, 2007 9:26AM","
bhmr59 ","hyundai cut back fleet sale 60 % , april '07 sale 10,434 would 8347 retail sale 2087 fleet sale . using 50 % figure , april , '06 sale would 7858 retail & 7858 fleet.cutting back fleet sale total 20 % unrealistic . : p"
871,872,"May 11, 2007 11:27AM","
captain2 ","news ford forum correct , horsepower better fuel economy hit pricewhen toyota developed new 3.5 2gr saving $ 1000.00 engine picked 80 hp , coupla mpgs process , enough ( u ) plant capacity use every car toyota lexus make . ford 'rewarded ' 'by hit price ' silly . , maybe making engine borderline competitive , 5 year late ? hope figure whatever make engine rough sounding harsh feeling . even ( new ? ) dt3.5 getting mixed review dept ."
872,873,"May 11, 2007 11:34AM","
jeffyscott ",wish made wagon.i think edge essentially ford wagon .
873,874,"May 11, 2007 11:59AM","
baggs32 ","good point assuming hyundai number . guess figuring sale number higher reason.the key word proposal `` `` though . hyundai cut hyundai fleet sale back 60 % ? 'm saying n't , ? history would tell u n't ."
874,875,"May 11, 2007 12:11PM","
baggs32 ","ford 'rewarded ' 'by hit price ' silly.i never said would hit price . idea price neither anyone else point . 'm guessing n't raise price new version engine come out.i hope figure whatever make engine rough sounding harsh feeling.mazda n't know ford . toyota developed new 3.5 2gr saving $ 1000.00 engine picked 80 hp , coupla mpgs process , enough ( u ) plant capacity use every car toyota lexus make . n't right place , ford , gm , dcx , toyota plant breed . ford finally converting 's plant support flexible manufacturing lower re-tooling cost time . right 's case . read article posted pip d30 ? going little year re-tool cleveland engine plant # 2 prpcude engine . toyota deal downtime plant much newer.fwiw , dt35 engine plant set switch building dt35 dt37 variant little downtime understand . taking sweet old time new engine think agree get right . ."
875,876,"May 11, 2007 12:25PM","
dudleyr ","'' think edge essentially ford wagon . `` yes true , 4-cyl borderline mpg . v-6 us way much fuel , require stick shift . interested whole crossover thing - regular wagon advantage , room ."
876,877,"May 11, 2007 12:37PM","
captain2 ","mazda n't know ford will.having never driven 6 obviously lot bad taste mouth ford dt3.0- correct 'm wrong , - except blown 4 banger , ford mazda drivetrains identical , even point coming ohio factory ? ford n't want need nasty labor contract well horrendous loss last year . toyota obviously needed pretty much opposite reason . take money make money , toyota sure beaucoups . take ford another year two get lousy 240hp v6 , late , usual ford ( equipped ) market afterthought - n't already.remember 500 came hampered engine , ford promised would better engine 06 model . n't happen , course even renamed ford promised last month , still . promise sale depts . , real car bean counter allow built ."
877,878,"May 11, 2007 1:00PM","
joe97 ","key word proposal `` `` though . hyundai cut hyundai fleet sale back 60 % ? 'm saying n't , ? history would tell u didn't.that history speak would purposeful program hyundai good part 06 hyundai . aside , hyundai 's fleet figure average best . purpose hyundai program , 'm paraphrasing hyundai official ' word - get many butt hyundai possible automaker fleet/retail split model-by model readily available , good reason , try see get confirmation buddy work polk . , based conversation various industry professional , hyundai fleet unit reduced since purposeful program ended , ford went ."
878,879,"May 11, 2007 1:01PM","
urnews ","n't happen , course even renamed ford promised last month , still . promise sale depts . , real car bean counter allow built.i thought new ( 2008 ? ) ford ( nee five hundred ) supposed get 3.5-liter v6 . ? though read fomoco 's bean counter going shoved background change . ? boz"
879,880,"May 11, 2007 1:39PM","
lilengineerboy ","'' think edge essentially ford wagon . `` yes true , 4-cyl borderline mpg . v-6 us way much fuel , require stick shift . interested whole crossover thing - regular wagon advantage , room.ditto . know typical would say others forum , fact , typical either.i le excited added vehicle height center gravity , reduced maneuverability , harder entry exit child ."
880,881,"May 11, 2007 2:00PM","
captain2 ","yes , thing 've seen 3.5 engined 500 car show photo promised april 07 date apparently 08 model . meanwhile dealer continue give away 500 lot $ 5000.00+ discount . five hundred , imo , much situation ford , good overall design courtesy somebody else , saddled outdated powertrain . whether bean counter background , n't know , sure n't seem like . 'm sure 'taurus ' solve problem either - car good 10 15 year ago , quickly degenerated definition rental car ."
881,882,"May 11, 2007 2:29PM","
jd10013 ","sure n't seem like . 'm sure 'taurus ' solve problem either - car good 10 15 year agoin , ford n't good . last year arround , ford pretty much neglected , reliability rating kept dropping , along sale . thats ford canned . , replacement ( fusion/500 ) combined sale even le ford last year . try bring back ."
882,883,"May 11, 2007 2:43PM","
jd10013 ","something good going cvt . 've never driven cvt equipped vehicle , n't attest magic perform . would n't call magic , efficent . 's kind like comparing overhead setup pushrod/lifter , fuel injection carburation . 's le moving part , le loss energy . 'd willing bet difference 0-60 time ( speed test ) entirely . separate note , lot le moving part , generaly simpler design , repair/replacement cost much lower ."
883,884,"May 11, 2007 2:48PM","
jd10013 ","'m pulling gm tho new model - , new chevrolet chevrolet , new ct . c'mon gm . think gm alright . chevrolet chevrolet seems like good car selling well . addition chevrolet chevrolet s , improve . , chevrolet chevrolet seems fairly well . actualy see many toyota 's . give gm dominant position truck/suv 's , competitive midsize sub-compact . decent compact ( cobatl n't impress ) crossover two , fine ."
884,885,"May 11, 2007 2:55PM","
thegraduate ",spy shot
885,886,"May 11, 2007 3:38PM","
jd10013 ",think 2007 look better
886,887,"May 11, 2007 4:31PM","
benderofbows ","'' think 2007 look better `` would n't say 2007 look `` better , `` n't worry anymore seeing new 2008 feeling buyer remorse waiting . nice looking car . wonder interior look like . judging shot coupe open , might uncomfortable side armrest like new toyota toyota ( slanted sloped big grab handle ) ."
887,888,"May 11, 2007 5:08PM","
thegraduate ","look low-end model . note cloth seat , modest tire , lack sunroof . tailpipe indicates 4-cylinder model.notice , 's body-side moulding . like handle , seem sculpted design , basic handle ."
888,889,"May 11, 2007 5:30PM","
jd10013 ","say , n't get wrong . think car look fine , think 2007 nice looking car , absolutely nothing honda : , three thing n't like 2008 are1 . tail . n't know shorter , lower , n't look good 2007. notable , tail light . always thought made honda 's rear look much better , triangular taillights.2 . headlight . hard tell exactly , look like stick fender.3 . pannels look flat . crease design . kind plain jane looking.i know couple spy shot , thats impression ."
889,890,"May 11, 2007 5:40PM","
benjaminh ","overall , think like . ... front reminds little saturn series , side bmw 5 series , rear pillar nissan . bad . grill seems tacky cheap -- black plastic particularly pleasing shape . like ford without chrome . frankly , think current ford may nicer looking car , 's coherent le fussy . guess term performance quality , honda may edge ."
890,891,"May 11, 2007 7:33PM","
baggs32 ","never driven 6 obviously lot bad taste mouth ford dt3.0- correct 'm wrong , - except blown 4 banger , ford mazda drivetrains identical , even point coming ohio factory ? correct . mazda version dt30 mazda v6 mazda exclusive vvt system us different head intake among thing . quite smooth compared ford dt30 . driven honda toyota lately n't compare unfortunately.the motor mfd plant ford dt30s different several key way . wonder pip d30 motor speak fact newer version mazda v6 next mazda get dt35 , good bit length added , printed several time . mtx might quite appealing.of course even renamed ford promised last month , still here.where earth hear ? ford 's official press release chicago auto show state summer availability ."
891,892,"May 11, 2007 8:25PM","
backy ",sure everyone commenting . see 3 box red x 's .
892,893,"May 11, 2007 10:11PM","
zzzoom6 ","n't captain 's impression dt30 based ford five hundred , car weighs 500 pound ford 6 ? remember correctly , comment several month ago different car may may similar characteristic ford 6. try driving honda honda honda nissan nissan tell n't hear engine stressing bit pulling extra weight compared sedan similar engine . give idea smooth mazda engine , today accidentally drove 10 mile 4th going around 70mph noticing shifting 5th . 4k+ rpm sound aggressive mazda , thing , sound like rev high . passionate driving involve sens ; hear influence feel . exceed 4k rpm , 're reason , aggressive sound simply expressing intention . serene smooth , keep engine 4k get comment people like uncle drive lexus saying surprised quiet mazda 6 is.that , , great thing 6 ... quite civil , 're mood fun , great grip balance curve , amazing brake along engine propels car nicely . oh yeah , 5k le honda ."
893,894,"May 11, 2007 10:17PM","
zzzoom6 ","try link : link titleyeah , impressed . profile look bit generic still . way reminds hyundai side view . like front though , especially headlight . wonder tl type line side like coupe ... thing though notice last front quarter honda older honda behind ? notice last car picture wheel 08 honda coupe 's spy shot ? look like comparing old v new ."
894,895,"May 12, 2007 6:15AM","
urnews ","wife bought 2007 sel awd v6 6-speed automatic ford dec. 4 , 2006. msrp $ 27,105 . standard sel equipment awd , heated leather seat , anti-lock brake , moon roof.my wife refused consider asian car really interested honda honda . question : much honda could gotten $ 27,105 ? v6 ? moon roof ? awd available , course . ford come three model , , sel choice two engine , 160-horsepower i4 2.3 liter either 5-speed manual 5-speed automatic . 3.0-liter v6 come 6-speed automatic.my wife , extent , believed honda priced range option wanted standard sel feature ford ( numerous list ) .this car delightful far , 3,000 mile squeak rattle , breakage , nary problem except poor ( 14.8 average ) in-city gas mileage . unfortunately , 95 percent driving honda , stop-and-go , short hops.i second thought . wondering much honda bought $ 27,105 . ford 's bold , distinctive styling superior handling quality big selling point top-notch ford , lincoln , mercury dealer , sherwood salisbury , md.granted , good time go shopping might market honda within year ."
895,896,"May 12, 2007 6:34AM","
jd10013 ",sound like got ford fully loaded . honda fully loaded would problby run 32k .
896,897,"May 12, 2007 6:51AM","
urnews ","yeah , jd , everything sirius radio , navigation system audiophile sound system . radio premium version though , 6 cd player six speaker ( eight audiophile version ) . missing option something would order . , neither awd.32k fully loaded honda ? 's steep book . plus honda dealer so-so , carry many brand . mini conglomerate.thanks reply . fully loaded ford fine awhile . afraid honda priced like ."
897,898,"May 12, 2007 7:50AM","
thegraduate ","check honda price paid forum right . find anyone paying honda v6 honda navigation ( avail ford yet ) $ 26k . honda buy . 'd hard pressed spend $ 27k honda unless n't shop around much.people paying $ 1,000- $ 2,000 invoice honda . reason 2007 model dealer sell , highly profitable 2008s alotted ."
898,899,"May 12, 2007 7:51AM","
elroy5 ",honda may cost 32k hybrid v6 . think could get honda 27-28k easy .
899,900,"May 12, 2007 8:13AM","
backy ","honda honda might good fit . today 's incentive , could probably get $ 23k . leather , moonroof , alloy . i4 peppy need 95 % in-town driving , deliver lot better fuel economy v6.if serious market honda soon , might able advantage model close-out pricing likely fall all-new 2008 honda roll . would bath ford , would selling car le year old . find hungry honda dealer fall , maybe would trade straight 2007 honda honda , really lucky maybe nav ."
900,901,"May 12, 2007 8:16AM","
jd10013 ","honda may cost 32k hybrid v6 . think could get honda 27-28k easy . checked local dealer website , highest 31,700. n't pulling number air . fully loaded nav system . yes , lot honda cheaper , looked like poster spent much ford , specificly looked someone could spend accord.and , n't hybrid"
901,902,"May 12, 2007 8:22AM","
thegraduate ","msrp honda honda v6 navi destination $ 29,995 , dealer bunch added junk n't really add value car . , dealer crooked ."
902,903,"May 12, 2007 8:28AM","
jd10013 ",course .
903,904,"May 12, 2007 8:32AM","
jd10013 ","msrp honda honda v6 navi destination $ 29,995but actually , listed honda v6 . something called honda honda auto ulev navi"
904,905,"May 12, 2007 9:27AM","
dudleyr ","27k buy honda v-6 infiniti loaded . quite fast ( 5.9 60 ) get pretty good gas mileage epa 21/30.if need traction winter snow tire awd - help stop , able stop likely get trouble ."
905,906,"May 12, 2007 11:09AM","
urnews ","actually , dudleyr , n't shop honda figured loaded v6 , moonroof leather seat would cost around $ 30,000 . ford bell whistle except navigation sirius , n't interest u . would n't ordered awd either , car came way lot.in retrospect , bought ford fast . $ 27,000 msrp , dealing , absolute maximum ( paid cash traded 2000 , one-owner , mazda miata 7,500 original mile . ( $ 8,000 trade-in . ) given honda driving habit , 95 percent , gone i4 . ford 's 14.8 mpg honda killer.thanks weighed topic , `` much honda . `` hindsight always 20-20. sel nice package though . especially like piano black dash , plood , fit finish perfect car ."
906,907,"May 12, 2007 11:25AM","
benderofbows ","'' ... traded 2000 , one-owner , mazda miata 7,500 original mile . ( $ 8,000 trade-in . ) '' seven thousand mile ? ? ? & # \ ! ~ , wish would standing buy 80 bone ."
907,908,"May 12, 2007 12:08PM","
urnews ","seven thousand mile ? ? ? & # \ ! ~ , wish would standing buy 80 bones.true . 7,500 mile looked like new . mother bought car new 2000 81 year old . drove church , grocery store , beauty shop . oil changed every six month . never top . got side-swiped semi took away driver 's license kept car six month trading ford . sweet machine true sport car every sense . practical car smallness scared . side-swipe accident $ 2,000 damage . repaired traded . kelley blue book range car $ 8,000 $ 10,000 . thought $ 8,000 fair price . maybe held offered private . hindsight 20-20. wife like ford miata convertible ."
908,909,"May 12, 2007 12:42PM","
explorerx4 ",google navigation+depreciation . see feel built feature .
909,910,"May 12, 2007 6:28PM","
thegraduate ","'m `` pro-built-in-nav , `` seemed way , misspoke . portable unit ( around $ 300 ) love fact use unlimited different vehicle . built-in unit cost much , often coming neat feature , fact useful car limit `` help `` factor.i wrote honda navi even navi-equipped honda would le $ 27k fusion-buying friend mentioned . unfortunately , appears n't know incentive , mpg penalty awd would beckon . got nice car though . , hard time paying satellite radio , leather , built-in navigation ( hence reason car none ) . would , however , love see 2008 honda offer automatic climate control cloth-equipped model . 's big deal , area 'd like see change ."
910,911,"May 12, 2007 7:40PM","
baggs32 ","hmm . actually hate current honda coupe . kind like '08s though . 'm ready drop everything buy nicer . two thing notice right bat . head tail light seem jut body , side , thing n't really like . look sloppy last gen toyota toyota head light like . thing grille . appears covered black tape mule . 'm guessing production version show 's three-bar chrome grille black tape . least ex anyway . wonder idea came . : p thing . profile kind look like bmw bmw way . low hood , high greenhouse , slightly lower trunk , without goofy `` bangle butt `` ."
911,912,"May 13, 2007 3:53AM","
rhduke00 ","interesting article comparing 25 midsize large sedan costing le $ 21,000 ."
912,913,"May 13, 2007 4:48AM","
imidazol97 ",thanks link . review much better written another purported consumer oriented magazine . seem real world.they match exactly saw neighbor 's visiting brother 's toyota toyota . large review . hyundai top list .
913,914,"May 13, 2007 5:25AM","
rhduke00 ","thought ought know ifcar car research institute consisting auto junkie . nevertheless , like evaluation table ."
914,915,"May 13, 2007 7:10AM","
urnews ","interesting review , rhduke00 . thanks link . learned something . interesting 4-cylinder ford finished 4th v6 ford finished 14th.as owner 2007 v6 sel awd ford , would agree assessment . ordered i4 sel rather taking lot . get horrific in-city gas mileage , 14.8 mpg , n't need power v6 95 percent driving in-city . hindsight always 20-20. bought power n't need . true all-wheel-drive . expensive option . sel msrp $ 27,105 . i4 sel would much better deal.again , thanks link , even though reinforces buyer 's remorse ."
915,916,"May 13, 2007 8:10AM","
urnews ","wrote honda navi even navi-equipped honda would le $ 27k fusion-buying friend mentioned . unfortunately , appears n't know incentive , mpg penalty awd would beckon . got nice car though.graduate , actually know awd penalty . original epa in-city estimate window sticker 19 mpg , could live . believing first mistake.since , epa revised estimate power train downward 17 mpg honda . could live , . 's 14.8 mpg getting honda driving killing me.bottom line : ordered sel i4 , either manual automatic , instead buying lot . n't think i4 would powerful enough , according numerous post various forum , would fine purpose ."
916,917,"May 13, 2007 11:52AM","
backy ","interesting top 8 car , 's two kia optimas , two hyundai hyundai , two ford ( ford five hundred ) , , honda . think reinforces competitive class people bother look beyond `` automatic `` choice honda toyota toyota ( maybe nissan ) , 's several good car good value class ."
917,918,"May 13, 2007 12:32PM","
urnews ","'s good point , backy . found interesting ford placed fourth ( i4 ) fourteenth ( v6 ) . reviewer obviously place value four cylinder model . indeed , wish ordered i4 sel ford rather buying v6 lot.your point diversity mid-size class well-taken . really wish able read information decided . would saved several thousand dollar better satisfied boot ."
918,919,"May 13, 2007 12:33PM","
elroy5 ",honda still # 1 .
919,920,"May 13, 2007 4:20PM","
scape2 ","thank-you ! ! saying along another person come along show folk , honda thousand like optioned fusions/milans/sonata 's .. common knowledge .. : surprise :"
920,921,"May 13, 2007 4:29PM","
scape2 ","n't buy ford fast . n't let honda crowd get . well built vehicle good price . ford fit/finish every bit good honda toyota toyota . shopped last year ford salesperson confident took ford honda lot toyota toyota lot show first hand , side side comparison . 4 - 5 sale people walking , poking , opening/shutting door ect around car looking every detail . totally confident ford easily hold 100,000 mile . fact.i got back trip idaho ford . wanted post badly ! ! traveled whole family . 2 adult , 2 child , soccer gear/luggage . averaged 75mph got 32.6 mpg ! ! 3mpg better ford advertises . extremely happy . car handled like rail mountain , drove confidence . made great choice buying ford . : shade :"
921,922,"May 13, 2007 4:36PM","
scape2 ",thank-you posting ! ! much ! yet another reason ford great value great vehicle . finish within point behind honda . make seem ford mile behind honda look yet ! . look pricing difference . http : //ifcar.net/reviews.comparisons.inexpensivefamilysedans.htm
922,923,"May 13, 2007 4:36PM","
joe97 ","good read ! certainly surprised see hyundai hyundai kia kia kia , kia . tying first place , well deserved too.edit : noticed hyundai hyundai took first place well large category . kudos ! !"
923,924,"May 13, 2007 4:39PM","
scape2 ",'' honda still # 1 . `` read article ? nope honda # 3 .. : confuse :
924,925,"May 13, 2007 5:01PM","
thegraduate ","made great choice buying ford . nobody seems saying otherwise . instead , bought wrong ford his/her need . 14 mpg n't need v6 power awd pretty sad , 2.3l ford would 've sufficed . curiousity , realize ok people disagree personal ? always seems chip shoulder . sure , ford hold 100,000 mile , car market today . anyone saying otherwise trying push button . 'm glad got epa number trip . got back honda similarly ! 36 mpg , 75 mph ( ozark mountain ) , 100 % a/c use . 2 mpg better epa 700 lb load car . prof right driving style , epa number n't bad people say . better condition ( u ) number climb ( 've seen 40 mpg twice 4-cyl , 'll bet might see 35 drove closer 65 mph ) .hey , urnews ( hope read 'm making big ) , mention ford 's sticker , never mention actually paid . since honda going consistently $ 1,000 invoice , 'd guess ford , making deal better $ 27k telling u . fill u ! 's bad car bunch ! better people others , usually subjective ( style , interior finishing , engine sound , ride/handling compromise ) ."
925,926,"May 13, 2007 5:15PM","
altest ",got nicely equipped car . drive 4-cyl honda regret buying v6 . grass greener side .
926,927,"May 13, 2007 5:17PM","
thegraduate ","average mileage close 30 mpg , grass greener looking engine pollutes le ! j/ki really power need 4-cylinder . 's relative . embrace 've got ."
927,928,"May 13, 2007 5:24PM","
elroy5 ","eye deceiving ? see first place . like 've said , 's best get $ 25,000.http : //www.ifcar.net/reviews.comparisons.premiumfamilysedans.1stplace.htm"
928,929,"May 13, 2007 7:11PM","
tallman1 ","eye deceiving ? see first place.your link different original link posted . referred car 21k i4 honda took third , behind kia kia , kia . hyundai ."
929,930,"May 13, 2007 7:24PM","
elroy5 ","different price range , true . $ 25,000 personal price limit ."
930,931,"May 14, 2007 5:06AM","
jd10013 ","eye deceiving ? see first place . like 've said , 's best get $ 25,000 . would n't pay much attention ranking . 'm willing bet find fist place review midsize car . 're good learning car feature , handling ect , far ranking , 's subjective.i realy n't think go wrong midsize sedan . compettion become intense quality gone pretty significantly ."
931,932,"May 14, 2007 5:11AM","
pat ",well said .
